Sample ID,Sample Date,Laboratory,Ash,Moisture,CV
C-101,2026-07-27T08:00:00Z,Carolina Main,15.2,8.1,27.5
C-102,2026-07-27T09:00:00Z,Carolina Main,16.5,8.2,27.1
C-103,2026-07-27T10:00:00Z,Carolina Main,15.8,8.0,27.4
C-104,INVALID_DATE,Carolina Main,14.9,7.9,27.6
C-105,2026-07-27T12:00:00Z,Carolina Main,115.0,8.1,27.5
C-106,2026-07-27T13:00:00Z,Carolina Main,16.2,8.4,27.2
C-107,2026-07-27T14:00:00Z,Carolina Main,15.5,8.0,27.5
C-108,2026-07-27T15:00:00Z,Carolina Main,,8.1,27.4
C-109,2026-07-27T16:00:00Z,Carolina Main,15.1,8.0,27.6
C-110,2026-07-27T17:00:00Z,Carolina Main,16.0,8.2,27.3
C-111,2026-07-27T18:00:00Z,Carolina Main,15.9,8.1,27.4
C-112,2026-07-27T19:00:00Z,Carolina Main,16.3,8.3,27.2
C-113,2026-07-27T20:00:00Z,Carolina Main,15.4,8.0,27.5
C-114,2026-07-27T21:00:00Z,Carolina Main,16.1,8.2,27.3
C-115,2026-07-27T22:00:00Z,Carolina Main,15.6,8.1,27.5
C-116,2026-07-27T23:00:00Z,Carolina Main,15.3,8.0,27.6
C-117,2026-07-28T00:00:00Z,Carolina Main,16.4,8.4,27.1
C-118,2026-07-28T01:00:00Z,Carolina Main,15.7,8.2,27.4
C-119,2026-07-28T02:00:00Z,Carolina Main,16.2,8.3,27.2
C-120,2026-07-28T03:00:00Z,Carolina Main,15.0,7.9,27.6
